claim_id,event_id,title,manual_claim_support_suggestion,manual_taxonomy_judgment_suggestion,manual_artifact_judgment_suggestion,manual_notes_seed,seed_status
C01,62989,How much can language models memorize?,partial_support,wrong_subarea,linked_unchecked,"Central LLM memorization/capacity work, but not primarily reasoning/post-training; use as a boundary caveat for C01.",suggestion_only_not_manual_review
C08,62989,How much can language models memorize?,supports,wrong_subarea,linked_unchecked,Validates the workflow need: high-signal paper has a subarea mismatch that would be missed by aggregate statistics.,suggestion_only_not_manual_review
C03,66206,To Grok Grokking: Provable Grokking in Ridge Regression,supports,correct,not_applicable,Rigorous grokking theory gives a concrete technical rationale for program attention beyond public votes.,suggestion_only_not_manual_review
C08,66206,To Grok Grokking: Provable Grokking in Ridge Regression,supports,correct,not_applicable,Useful theory-boundary check for the review workflow and safe-claim gates.,suggestion_only_not_manual_review
C01,61998,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,supports,correct,linked_unchecked,"Directly studies diffusion LMs, reasoning, and RL elicitation; supports C01 with a task-scope caveat.",suggestion_only_not_manual_review
C08,61998,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,supports,correct,linked_unchecked,Shows why method-page review matters before making broad diffusion-LM claims.,suggestion_only_not_manual_review
C02,65901,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,partial_support,too_broad,linked_unchecked,"Efficient adaptation/post-training infrastructure is relevant, but not clearly an agentic-workload paper.",suggestion_only_not_manual_review
C06,65901,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,partial_support,too_broad,linked_unchecked,"Good guardrail for trend interpretation because the paper spans optimization, systems, and model behavior.",suggestion_only_not_manual_review
C01,65332,Maximum Likelihood Reinforcement Learning,partial_support,too_broad,linked_unchecked,"Relevant to RL for code/math generation, but broader than LLM reasoning/post-training alone.",suggestion_only_not_manual_review
C08,65332,Maximum Likelihood Reinforcement Learning,supports,too_broad,linked_unchecked,Validates boundary-review workflow for RL/optimization papers assigned to LLM reasoning.,suggestion_only_not_manual_review
C02,65206,PaperBanana: Automating Academic Illustration for AI Scientists,supports,correct,linked_unchecked,Direct agentic workflow/system for automating a research-production task.,suggestion_only_not_manual_review
C07,65206,PaperBanana: Automating Academic Illustration for AI Scientists,partial_support,correct,linked_unchecked,"Artifact visibility is plausible from metadata, but repository and benchmark contents are not yet inspected.",suggestion_only_not_manual_review
C03,60766,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,supports,correct,linked_unchecked,Concrete RLVR safety/deception-probe contribution explains likely program attention.,suggestion_only_not_manual_review
C01,65886,Reinforcement Learning with Evolving Rubrics for Deep Research,supports,correct,linked_unchecked,Direct post-training/RL method for long-form deep-research models with strong benchmark claims.,suggestion_only_not_manual_review
C08,65886,Reinforcement Learning with Evolving Rubrics for Deep Research,supports,correct,linked_unchecked,"Good workflow-validation row because evidence, benchmark protocol, and artifact checks all matter.",suggestion_only_not_manual_review
